id;name;address;city;state;postal_code;latitude;longitude;created_by;last_modified_by
1;Hotel Weka Indah;JL. Pramuka, Pangandaran;;;;108.65521282;-7.6959639;System;System
2;Rose Inn Hotel;Jl. Kidang Pananjung No. 119, Pananjung, Pangandaran;;;;108.65734418;-7.6895069;System;System
3;Hotel Sami Bakti;Jl. Pantai Barat Pananjung Pangandaran;;;;108.629782418;-7.6851535;System;System
4;Hotel Sunset;Jl. Pantai Barat Pananjung Pangandaran;;;;108.629990319;7.6853641;System;System
5;Century Hotel Pangandaran;Jl. Pantai Barat Bulak Laut No. 86, Pangandaran;;;;108.645206318;-7.6890713;System;System
6;Karangsari II Pondok Wisata;JL Bulak Laut, NO 41, Pangandaran;;;;108.649907417;-7.6899762;System;System
7;Suligar Wangi 2 Hotel;JL. Bulak Laut, Pangandaran;;;;108.649115918;-7.6866109;System;System
8;Hotel Bintang Jelita;Jl. Pantai Barat Pananjung Pangandaran;;;;108.630408318;-7.6853252;System;System
9;Uni Beach Hotel;Jl. Pamugaran Bulak Laut No. 28, Pangandaran;;;;108.650428818;-7.6921897;System;System
10;Duta Beach Hotel;JL. Pamugaran 114, Pangandaran;;;;108.653475318;-7.6392343;System;System
11;Hotel Parahyangan;Jl. Pantai Barat Pananjung Pangandaran;;;;108.630113418;-7.6852401;System;System
12;Hotel Alam Jaya;Jl. Pantai Barat Pananjung Pangandaran;;;;108.63000618;-7.685414;System;System
13;Melia Beach Hotel;Jl. Pantai Barat Pananjung Pangandaran;;;;108.63011318;-7.685382;System;System
14;Hawaii Beach Hotel;JL. Pamugaran Bulak Laut 168 RT 06/03, Pangandaran;;;;108.644914816;-7.689164;System;System
15;Bahagia Hotel;JL. Kidang Pananjung 126, Pangandaran;;;;108.65022217;-7.678316;System;System
16;Samudera Hotel;JL. Kidang Pananjung 194;;;;108.650249118;-7.6779827;System;System
17;Hotel Pusaka;Jl. Pramuka Pananjung Pangandaran;;;;108.65585112;-7.6960329;System;System
18;Hotel Nusa Indah;Jl. Pramuka Pananjung Pangandaran;;;;108.655339421;-7.6959221;System;System
19;Hotel Soka;Jl. Kidang Pananjung Pananjung Pangandaran;;;;108.657858119;-7.6951466;System;System
20;Hotel Saluyu;Jalan Kidang Pananjung No. 172, Pangandaran;;;;108.657554418;-7.6979423;System;System
21;Putra Jaya Hotel;JL. KH Abdul Halim, No. 94, Kec. Majalengka;;;;108.216009219;-6.8326078;System;System
22;Hotel Sederhana Baru;JL.K.H. Abdul Halim, No. 261, Kec. Majalengka;;;;108.21400317;-6.832985;System;System
23;Nusa Indah Hotel;JL. Raya Barat, No. 24, Kadipaten, Kec. Majalengka;;;;108.166393818;-6.7660209;System;System
24;Family Hotel;JL. Raya Barat, No. 24, Kadipaten, Kadipaten, Kec. Majalengka, Kab. Majalengka;;;;108.166248518;-6.76604;System;System
25;Libra Hotel;JL.Brawijaya No.40 Dawuan-Kadipaten Majalengka, Karangsambung, Jatiwangi, Kab. Majalengka;;;;108.166720219;-6.7594783;System;System
26;Saputra Hotel;JL. Raya Pasar Balong, No. 741, Kadipaten, Kec. Majalengka;;;;108.168276718;-6.7639414;System;System
27;Penginapan Enggal;JL. Raya Barat, No. 155, Kadipaten, Kadipaten, Kec. Majalengka, Kab. Majalengka;;;;108.164162419;-6.7662518;System;System
28;Grand Purnama Hotel;Jl. Siliwangi No. 91, Kec. Kuningan;;;;108.478854719;-6.9798669;System;System
29;Cijoho Permai Hotel;Jl Laks L Re Martadinata 103 Kuningan;;;;108.497477418;-6.969951;System;System
30;Hotel Vankana Kuningan;Jl. Otista No. 106 - 108, Kuningan;;;;108.476839419;-6.9836219;System;System
31;Resort Prima;Jl. Panawuan No. 121, Kec. Cigandamekar, Kuningan;;;;108.502473718;-6.881408;System;System
32;Hotel Anggrek Kuningan;JL Otista, No. 112, Kuningan;;;;108.475718919;-6.9843134;System;System
33;Grage Sangkan Spa Hotel;Jl. Sangkan Hurip No. 1, Kec. Kuningan;;;;108.497782218;-6.8862907;System;System
34;Bukit Mulya Hotel;JL. Cirendang, Kec. Kuningan;;;;108.485982618;-6.9532414;System;System
35;Hotel Purnama Mulia;Jl. Raya Cigugur KM. 1,5, Cigugur, Kuningan;;;;108.451530418;-6.9557547;System;System
36;Hotel Ayong Linggarjati;Jl. Linggarjati No. 4, Linggasana RT03 RW02, Cilimus, Kuningan;;;;108.483754417;-6.8845368;System;System
37;Hotel Cemara Kuningan;Jl. Raya Penawuwan no. 99, Kec. Kuningan;;;;108.499563119;-6.8866797;System;System
38;Hotel Kencana Kuningan;Jl. Cipanas, No. 217, Sangkanurip, Kec. Kuningan;;;;108.511596219;-6.8932324;System;System
39;Sangkan Indah Hotel;Bandorasa Wetan, Cilimus, Kuningan Regency;;;;108.491337318;-6.8899152;System;System
40;Hotel Shanty Kuningan;JL. Panawuwan, No. 124, Cigandamekar, Kec. Kuningan;;;;108.513459118;-6.8788721;System;System
